================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.0.15:51010         <-> 216.58.220.234:80                9 7,719 bytes      10 1,528 bytes      19 9,247 bytes   113.678904000        32.9831
192.168.0.15:51026         <-> 173.194.127.227:443              8 4,850 bytes      11 852 bytes      19 5,702 bytes   171.717324000         0.6262
192.168.0.15:50967         <-> 199.27.79.193:80                 8 1,592 bytes      10 5,118 bytes      18 6,710 bytes    25.133117000        11.0763
192.168.0.15:50995         <-> 199.27.79.193:80                 9 4,667 bytes       9 3,658 bytes      18 8,325 bytes    55.735230000        11.2719
192.168.0.15:51013         <-> 69.59.169.185:80                 7 3,675 bytes      11 1,969 bytes      18 5,644 bytes   113.701432000        31.9258
192.168.0.15:50961         <-> 72.246.103.16:80                 6 1,732 bytes      10 1,965 bytes      16 3,697 bytes    22.295419000        56.6984
192.168.0.15:50969         <-> 199.27.79.193:80                 7 1,006 bytes       9 2,952 bytes      16 3,958 bytes    25.167934000        12.1459
192.168.0.15:50966         <-> 23.23.127.192:80                 6 1,370 bytes       9 2,013 bytes      15 3,383 bytes    24.785469000        31.3185
192.168.0.15:51021         <-> 216.58.220.234:80                7 5,254 bytes       8 969 bytes      15 6,223 bytes   115.526841000        31.1382
192.168.0.15:50964         <-> 199.27.79.193:80                 7 3,129 bytes       7 2,304 bytes      14 5,433 bytes    23.235004000        10.7957
192.168.0.15:50986         <-> 173.194.127.198:80               6 2,931 bytes       8 1,549 bytes      14 4,480 bytes    27.890938000        31.3471
192.168.0.15:50990         <-> 173.194.122.24:80                5 688 bytes       9 1,036 bytes      14 1,724 bytes    31.277499000        35.1992
192.168.0.15:50996         <-> 199.27.79.193:80                 7 2,500 bytes       7 1,989 bytes      14 4,489 bytes    56.045564000        10.9601
192.168.0.15:50963         <-> 199.27.79.193:80                 6 983 bytes       7 2,349 bytes      13 3,332 bytes    23.142844000        10.8879
192.168.0.15:50970         <-> 199.27.79.193:80                 6 932 bytes       7 2,670 bytes      13 3,602 bytes    25.169981000        11.0394
192.168.0.15:50984         <-> 173.194.127.141:80               5 1,460 bytes       8 2,054 bytes      13 3,514 bytes    27.871482000        33.5637
192.168.0.15:50998         <-> 199.27.79.193:80                 6 939 bytes       7 2,014 bytes      13 2,953 bytes    56.779836000        11.3256
192.168.0.15:51004         <-> 23.21.133.99:80                  5 880 bytes       8 1,434 bytes      13 2,314 bytes   103.560122000        33.3242
192.168.0.15:50968         <-> 199.27.79.193:80                 5 866 bytes       7 2,813 bytes      12 3,679 bytes    25.147965000        11.0614
192.168.0.15:50985         <-> 173.194.127.237:80               5 1,510 bytes       7 1,022 bytes      12 2,532 bytes    27.884282000        30.2591
192.168.0.15:51011         <-> 173.194.72.95:80                 5 1,373 bytes       7 977 bytes      12 2,350 bytes   113.691192000        30.7614
192.168.0.15:51022         <-> 50.31.251.34:80                  6 2,777 bytes       6 706 bytes      12 3,483 bytes   153.704514000         5.0471
192.168.0.15:50972         <-> 173.241.248.219:80               5 856 bytes       6 928 bytes      11 1,784 bytes    25.645117000         0.1363
192.168.0.15:50975         <-> 173.241.248.219:80               5 964 bytes       6 933 bytes      11 1,897 bytes    25.753661000         0.1347
192.168.0.15:50976         <-> 173.241.248.220:80               5 983 bytes       6 1,041 bytes      11 2,024 bytes    26.493053000         0.1418
192.168.0.15:50977         <-> 173.241.248.220:80               5 948 bytes       6 1,046 bytes      11 1,994 bytes    26.731644000         0.1424
192.168.0.15:50978         <-> 173.241.248.219:80               4 987 bytes       7 1,065 bytes      11 2,052 bytes    26.897084000         0.6630
192.168.0.15:50979         <-> 173.241.248.220:80               5 699 bytes       6 817 bytes      11 1,516 bytes    27.298491000         0.1377
192.168.0.15:50981         <-> 173.241.248.220:80               5 492 bytes       6 822 bytes      11 1,314 bytes    27.397819000         0.1382
192.168.0.15:51012         <-> 173.194.72.95:80                 4 859 bytes       7 868 bytes      11 1,727 bytes   113.691192000        30.7886
192.168.0.15:51023         <-> 108.168.254.139:80               5 1,690 bytes       6 965 bytes      11 2,655 bytes   153.935492000        17.0850
192.168.0.15:51025         <-> 108.168.254.138:80               5 1,124 bytes       6 1,209 bytes      11 2,333 bytes   155.335365000        16.8300
192.168.0.15:50965         <-> 54.240.248.207:80                4 441 bytes       6 776 bytes      10 1,217 bytes    23.457211000        31.6273
192.168.0.15:50971         <-> 173.194.127.100:80               4 715 bytes       6 1,206 bytes      10 1,921 bytes    25.457213000        30.4936
192.168.0.15:50982         <-> 173.194.127.141:80               4 1,056 bytes       6 918 bytes      10 1,974 bytes    27.831546000        30.3144
192.168.0.15:50987         <-> 54.169.42.244:80                 4 1,054 bytes       6 1,000 bytes      10 2,054 bytes    28.157690000        31.6820
192.168.0.15:50994         <-> 173.194.127.119:80               4 670 bytes       6 864 bytes      10 1,534 bytes    38.282619000        30.8310
192.168.0.15:50993         <-> 173.194.127.128:80               3 604 bytes       6 864 bytes       9 1,468 bytes    38.275450000        30.8592
192.168.0.15:50957         <-> 23.21.196.154:80                 2 140 bytes       6 835 bytes       8 975 bytes    15.110590000        31.1316
192.168.0.15:50962         <-> 203.190.124.19:80                3 648 bytes       5 1,094 bytes       8 1,742 bytes    22.496123000         0.1403
192.168.0.15:51037         <-> 192.168.0.9:5000                 3 1,162 bytes       4 631 bytes       7 1,793 bytes   243.326657000         0.0297
192.168.0.15:50955         <-> 17.172.239.127:443               1 74 bytes        2 132 bytes       3 206 bytes     1.556032000         0.3508
192.168.0.15:50991         <-> 173.194.122.15:80                1 74 bytes        2 132 bytes       3 206 bytes    31.473595000         0.3759
192.168.0.15:51024         <-> 108.168.254.140:80               1 66 bytes        2 132 bytes       3 198 bytes   154.201220000         0.3123
192.168.0.15:51027         <-> 173.194.127.226:443              1 74 bytes        2 132 bytes       3 206 bytes   172.165389000         0.0512
192.168.0.15:51031         <-> 173.194.127.231:443              1 74 bytes        2 132 bytes       3 206 bytes   210.743425000         0.1736
17.172.232.98:443          <-> 192.168.0.15:50948               1 54 bytes        1 103 bytes       2 157 bytes    16.865339000         0.0246
192.168.0.15:50988         <-> 54.251.179.109:80                0 0 bytes         2 132 bytes       2 132 bytes    28.330747000         0.1080
192.168.0.15:50992         <-> 173.194.122.23:80                0 0 bytes         2 132 bytes       2 132 bytes    31.674300000         0.3820
173.194.127.173:80         <-> 192.168.0.15:50887               1 54 bytes        1 66 bytes        2 120 bytes    87.519168000         0.0266
173.194.127.173:80         <-> 192.168.0.15:50889               1 54 bytes        1 66 bytes        2 120 bytes    87.677376000         0.0261
192.168.0.15:51029         <-> 192.168.0.9:5000                 1 60 bytes        1 78 bytes        2 138 bytes   181.299021000         0.0005
192.168.0.15:51033         <-> 192.168.0.9:5000                 1 60 bytes        1 78 bytes        2 138 bytes   211.516098000         0.0056
192.168.0.15:51030         <-> 173.194.127.231:443              0 0 bytes         1 78 bytes        1 78 bytes    210.553984000         0.0000
================================================================================
